old_path	classification	new_path	current_or_historical	reason	dependencies_found	action	files_on_disk_governed	tracked_files_governed
README.md	current_documentation	README.md	current	main README; rewritten as navigation (current implementations, examples, runner, development/ warning)	old text names examples/case1.json and examples/BeamTopOptFreq.json, neither exists	keep	1	1
THREE_METHOD_PARAMETRIC_STUDY.md	historical_document	development/historical_documents/repository_root/THREE_METHOD_PARAMETRIC_STUDY.md	historical	report of the profile-calibration study	none found	git mv	1	1
analysis	current_implementation	analysis	current	current method implementations only after migration	none found	keep	0	0
analysis/.DS_Store	current_documentation	analysis/.DS_Store	current	Finder metadata (ignored)	none found	keep	1	0
analysis/LabandaApproach	experiment	development/experiments/LabandaApproach	historical	TopIQP/reciprocal-SQP compliance-minimization experiment (2026-05); not dispatched by any runner, no example, no test, not one of the three compared methods	none found	git mv	6	5
analysis/OLHOFF_CURRENT_EFFECTIVE_CONFIG_AUDIT.md	migration_artifact	development/migration_history/olhoff_current_promotion/OLHOFF_CURRENT_EFFECTIVE_CONFIG_AUDIT.md	historical	effective-config audit of the 2026-09-07 promotion	none found	git mv	1	1
analysis/OLHOFF_CURRENT_PROMOTION_REPORT.md	migration_artifact	development/migration_history/olhoff_current_promotion/OLHOFF_CURRENT_PROMOTION_REPORT.md	historical	promotion evidence; superseded as a navigation document by README.md and SOURCE_OF_TRUTH.md	linked from analysis/OlhoffCurrent/README.md (link updated)	git mv	1	1
analysis/OLHOFF_IMPLEMENTATION_MAP.md	migration_artifact	development/migration_history/olhoff_current_promotion/OLHOFF_IMPLEMENTATION_MAP.md	historical	classification of 14 Olhoff trees at promotion; superseded by SOURCE_OF_TRUTH.md + development/README.md	linked from OlhoffCurrent/README.md, cited in comments of olhoffcurrent_forbidden_paths.m and performance_comparison.m	git mv	1	1
analysis/OLHOFF_IMPLEMENTATION_STATUS.md	migration_artifact	development/migration_history/olhoff_current_promotion/OLHOFF_IMPLEMENTATION_STATUS.md	historical	pre-promotion status (names M4 conference-active; stale, superseded by the map)	none found	git mv	1	1
analysis/OLHOFF_SOURCE_LINEAGE_AUDIT.md	migration_artifact	development/migration_history/olhoff_current_promotion/OLHOFF_SOURCE_LINEAGE_AUDIT.md	historical	read-only lineage audit supporting the promotion	none found	git mv	1	1
analysis/OlhoffApproach	legacy_implementation	development/legacy_implementations/OlhoffApproach	historical	original bound-formulation MMA implementation + Python port; HISTORICAL in the implementation map; blocked from production	run_topopt_from_json key Olhoff (retired); analysis/ourApproach/Python/topopt_freq.py and analysis/elastic2D/Python/topopt_elastic2D.py try to import mma.py from OlhoffApproach/Python -- that file does not exist on disk or in git at baseline (pre-existing dangling optional import, behaviour unchanged)	git mv	13	13
analysis/OlhoffApproachExact	legacy_implementation	development/legacy_implementations/OlhoffApproachExact	historical	"the ""exact Olhoff 2014"" line (own FE, multiplicity, generalized gradients); HISTORICAL"	run_topopt_from_json key OlhoffExact (retired)	git mv	53	53
analysis/OlhoffArchive.zip	legacy_implementation	development/legacy_implementations/OlhoffArchive.zip	historical	552 MB local zip backup of Olhoff trees (ignored, never tracked: exceeds GitHub 100 MB limit)	none found	mv (no tracked files)	1	0
analysis/OlhoffCurrent	current_implementation	analysis/Olhoff	current	SOLE production Du-Olhoff implementation (SOURCE_OF_TRUTH.md section 1). Renamed to the canonical name; function names keep the olhoffcurrent_ prefix	performance_comparison.m, compose_nine_mesh_comparison.m, conference_bench/*, docs/bimodality_gap/scripts/bg_run_arm.m; string literals analysis/OlhoffCurrent in olhoffcurrent_config/run/provenance/source_manifest(write)/currentness(message) and confbench_manifest	git mv + update current references	118	116
analysis/OlhoffCurrent/EVIDENCE_POLICY.md	audit	development/reconstruction/OlhoffCurrent_study_governance/EVIDENCE_POLICY.md	historical	study-finalization tooling for diagnostics/ and evidence/: callers are only each other and scripts under diagnostics/ (no production script, benchmark file or other test); hard-bound to the pre-migration diagnostics/evidence layout and to git objects at analysis/OlhoffCurrent/... in historical commits; archived with the studies it governs	uses diagnostics/two_branch_controller_validation, evidence/_gate_selftest, a git clone of the repository at analysis/OlhoffCurrent	git mv	1	1
analysis/OlhoffCurrent/diagnostics	audit	development/reconstruction/OlhoffCurrent_diagnostics	historical	30 diagnostic/audit/migration studies performed on the production tree (move-stop, three-rung, gray-KKT, nine-mesh campaign audits, upstream migrations, c480 SOCP causal run)	olhoffcurrent_presets.m cites four study paths as provenance strings (not file access); PROVENANCE.json acceptance_evidence cites two (record, unchanged); test_finalization_gate.m reads two_branch_controller_validation (archived with it)	git mv	2275	1989
analysis/OlhoffCurrent/evidence	evidence	development/reconstruction/OlhoffCurrent_evidence	historical	git-ignored raw evidence of those studies (1.3 GB)	EVIDENCE.json files declare evidenceRoot analysis/OlhoffCurrent/evidence/<study> (historical record); docs/bimodality_gap/scripts/bg_extract_prior_interventions.m reads move_activity_400	git mv	88	2
analysis/OlhoffCurrent/olhoffcurrent_evidence_declare.m	audit	development/reconstruction/OlhoffCurrent_study_governance/olhoffcurrent_evidence_declare.m	historical	study-finalization tooling for diagnostics/ and evidence/: callers are only each other and scripts under diagnostics/ (no production script, benchmark file or other test); hard-bound to the pre-migration diagnostics/evidence layout and to git objects at analysis/OlhoffCurrent/... in historical commits; archived with the studies it governs	uses diagnostics/two_branch_controller_validation, evidence/_gate_selftest, a git clone of the repository at analysis/OlhoffCurrent	git mv	1	1
analysis/OlhoffCurrent/olhoffcurrent_evidence_gate.m	audit	development/reconstruction/OlhoffCurrent_study_governance/olhoffcurrent_evidence_gate.m	historical	study-finalization tooling for diagnostics/ and evidence/: callers are only each other and scripts under diagnostics/ (no production script, benchmark file or other test); hard-bound to the pre-migration diagnostics/evidence layout and to git objects at analysis/OlhoffCurrent/... in historical commits; archived with the studies it governs	uses diagnostics/two_branch_controller_validation, evidence/_gate_selftest, a git clone of the repository at analysis/OlhoffCurrent	git mv	1	1
analysis/OlhoffCurrent/olhoffcurrent_finalization_gate.m	audit	development/reconstruction/OlhoffCurrent_study_governance/olhoffcurrent_finalization_gate.m	historical	study-finalization tooling for diagnostics/ and evidence/: callers are only each other and scripts under diagnostics/ (no production script, benchmark file or other test); hard-bound to the pre-migration diagnostics/evidence layout and to git objects at analysis/OlhoffCurrent/... in historical commits; archived with the studies it governs	uses diagnostics/two_branch_controller_validation, evidence/_gate_selftest, a git clone of the repository at analysis/OlhoffCurrent	git mv	1	1
analysis/OlhoffCurrent/tests/gate_provenance_probes.m	audit	development/reconstruction/OlhoffCurrent_study_governance/tests/gate_provenance_probes.m	historical	study-finalization tooling for diagnostics/ and evidence/: callers are only each other and scripts under diagnostics/ (no production script, benchmark file or other test); hard-bound to the pre-migration diagnostics/evidence layout and to git objects at analysis/OlhoffCurrent/... in historical commits; archived with the studies it governs	uses diagnostics/two_branch_controller_validation, evidence/_gate_selftest, a git clone of the repository at analysis/OlhoffCurrent	git mv	1	1
analysis/OlhoffCurrent/tests/test_evidence_retention.m	audit	development/reconstruction/OlhoffCurrent_study_governance/tests/test_evidence_retention.m	historical	study-finalization tooling for diagnostics/ and evidence/: callers are only each other and scripts under diagnostics/ (no production script, benchmark file or other test); hard-bound to the pre-migration diagnostics/evidence layout and to git objects at analysis/OlhoffCurrent/... in historical commits; archived with the studies it governs	uses diagnostics/two_branch_controller_validation, evidence/_gate_selftest, a git clone of the repository at analysis/OlhoffCurrent	git mv	1	1
analysis/OlhoffCurrent/tests/test_finalization_gate.m	audit	development/reconstruction/OlhoffCurrent_study_governance/tests/test_finalization_gate.m	historical	study-finalization tooling for diagnostics/ and evidence/: callers are only each other and scripts under diagnostics/ (no production script, benchmark file or other test); hard-bound to the pre-migration diagnostics/evidence layout and to git objects at analysis/OlhoffCurrent/... in historical commits; archived with the studies it governs	uses diagnostics/two_branch_controller_validation, evidence/_gate_selftest, a git clone of the repository at analysis/OlhoffCurrent	git mv	1	1
analysis/OlhoffM4Reconstruction	reconstruction	development/reconstruction/OlhoffM4Reconstruction	historical	frozen conference reconstruction (FROZEN_EVIDENCE, hash-pinned by IMPORT_MANIFEST.json); production before 2026-09-07	olhoffcurrent_forbidden_paths; test_path_isolation TEST B contaminant; olhoffcurrent_presets provenance string	git mv	45	45
analysis/OlhoffRegularized	experiment	development/experiments/OlhoffRegularized	historical	"globalized variant on reproduction2007 primitives with its own audit; ""superseded"", self-contained"	none found	git mv	35	35
analysis/OlhoffReproduced2007	reconstruction	development/reconstruction/OlhoffReproduced2007	historical	thin runner exposing Matlab/reproduction2007 on Yuksel geometries; HISTORICAL	calls repro2007_paths (moves with it)	git mv	5	5
analysis/YukselApproach	current_implementation	analysis/Yuksel	current	sole Yuksel implementation, dispatched by run_topopt_from_json key Yuksel; named by the frozen profile (SOURCE_OF_TRUTH.md section 2); canonical name	tools/Matlab/run_topopt_from_json.m addpath; confbench_manifest.m hash list; Python runners import package YukselApproach.Python.solver (updated)	git mv + update current references	16	14
analysis/elastic2D	current_implementation	analysis/elastic2D	current	auxiliary compliance-minimization solver, dispatched by run_topopt_from_json keys elastic2D/elastc2D; current example examples/elastic2D	Python optional mma import from OlhoffApproach/Python (dangling at baseline, see OlhoffApproach row)	keep	4	2
analysis/iteration_count_audit	audit	development/audits/iteration_count_audit	historical	iteration-count audit	olhoffcurrent_forbidden_paths names the olhoff_* ones; historical Performance scripts (moving too) reference olhoff_stabilization_audit	git mv	33	5
analysis/iteration_efficiency_evaluator_discontinuity_audit	experiment	development/experiments/iteration_efficiency/iteration_efficiency_evaluator_discontinuity_audit	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	22	10
analysis/iteration_efficiency_final	experiment	development/experiments/iteration_efficiency/iteration_efficiency_final	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	137	125
analysis/iteration_efficiency_final_audit	experiment	development/experiments/iteration_efficiency/iteration_efficiency_final_audit	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	13	13
analysis/iteration_efficiency_final_blocker_fix	experiment	development/experiments/iteration_efficiency/iteration_efficiency_final_blocker_fix	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	13	13
analysis/iteration_efficiency_methodology_audit	experiment	development/experiments/iteration_efficiency/iteration_efficiency_methodology_audit	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	11	9
analysis/iteration_efficiency_methodology_delta_audit	experiment	development/experiments/iteration_efficiency/iteration_efficiency_methodology_delta_audit	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	9	7
analysis/iteration_efficiency_methodology_final_recheck	experiment	development/experiments/iteration_efficiency/iteration_efficiency_methodology_final_recheck	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	4	3
analysis/iteration_efficiency_phase2a	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2a	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	46	43
analysis/iteration_efficiency_phase2b_precision	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2b_precision	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	24	8
analysis/iteration_efficiency_phase2b_recheck	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2b_recheck	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	46	22
analysis/iteration_efficiency_phase2d_delta_audit	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2d_delta_audit	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	56	33
analysis/iteration_efficiency_phase2d_evaluator_amendment	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2d_evaluator_amendment	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	28	12
analysis/iteration_efficiency_phase2f_evaluator_redesign	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2f_evaluator_redesign	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	56	21
analysis/iteration_efficiency_phase2g_evaluator_selection_audit	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2g_evaluator_selection_audit	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	45	17
analysis/iteration_efficiency_phase2h_c_refreeze	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2h_c_refreeze	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	25	23
analysis/iteration_efficiency_phase2i_precision_qualification	experiment	development/experiments/iteration_efficiency/iteration_efficiency_phase2i_precision_qualification	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	46	46
analysis/iteration_efficiency_study_design	experiment	development/experiments/iteration_efficiency/iteration_efficiency_study_design	historical	phase of the iteration-efficiency study and its audits (2026-08/09); no current caller	examples/Performance/test_shared_topology_renderer.m (historical) uses iteration_efficiency_study_design; .gitignore negation for phase2i	git mv	17	15
analysis/olhoff_fixed_budget_audit	audit	development/audits/olhoff_fixed_budget_audit	historical	fixed-budget audit runners (AUDIT_ONLY)	olhoffcurrent_forbidden_paths names the olhoff_* ones; historical Performance scripts (moving too) reference olhoff_stabilization_audit	git mv	6	6
analysis/olhoff_native_convergence	audit	development/audits/olhoff_native_convergence	historical	olhoffOptTelemetry / nativeConvergenceDetector (AUDIT_ONLY)	olhoffcurrent_forbidden_paths names the olhoff_* ones; historical Performance scripts (moving too) reference olhoff_stabilization_audit	git mv	8	8
analysis/olhoff_nested_mma_route_audit	audit	development/audits/olhoff_nested_mma_route_audit	historical	nested-MMA route audit, Python + reports (AUDIT_ONLY)	olhoffcurrent_forbidden_paths names the olhoff_* ones; historical Performance scripts (moving too) reference olhoff_stabilization_audit	git mv	30	16
analysis/olhoff_practical_convergence_audit	audit	development/audits/olhoff_practical_convergence_audit	historical	practical-convergence audit runner (AUDIT_ONLY)	olhoffcurrent_forbidden_paths names the olhoff_* ones; historical Performance scripts (moving too) reference olhoff_stabilization_audit	git mv	2	2
analysis/olhoff_stabilization_audit	audit	development/audits/olhoff_stabilization_audit	historical	superseded S1 stabilization profile, dispatched by the previous (r3) benchmark driver	olhoffcurrent_forbidden_paths names the olhoff_* ones; historical Performance scripts (moving too) reference olhoff_stabilization_audit	git mv	15	15
analysis/ourApproach	current_implementation	analysis/Proposed	current	sole Proposed implementation, dispatched by key ourApproach (MATLAB + Python); named by the frozen profile (SOURCE_OF_TRUTH.md section 3); canonical name	tools/Matlab/run_topopt_from_json.m addpath; tools/Python/run_topopt_from_json.py solver_dir; confbench_manifest.m hash list	git mv + update current references	7	2
analysis/performance_campaign_forensic_audit	audit	development/audits/performance_campaign_forensic_audit	historical	forensic audit of an earlier performance campaign	olhoffcurrent_forbidden_paths names the olhoff_* ones; historical Performance scripts (moving too) reference olhoff_stabilization_audit	git mv	55	5
analysis/performance_campaign_targeted_replays	benchmark_history	development/benchmark_history/performance_campaign_targeted_replays	historical	targeted replays of an earlier performance campaign	none found	git mv	62	33
analysis/three_method_parametric_study	benchmark_history	development/benchmark_history/three_method_parametric_study	historical	profile-calibration study (stage A, holdout, engineering gates, selection); only its three frozen-profile files are current (split out below)	historical Performance scripts (final_campaign_*, legacy_r3) reference it	git mv	16	16
analysis/three_method_parametric_study/results/profile_freeze_manifest.json	current_implementation	examples/Performance/benchmark_profile/profile_freeze_manifest.json	current	frozen Proposed/Yuksel benchmark profile + base-config builder + common E1/E2/E3 evaluator, read by the current runner; moved beside it byte-for-byte	performance_comparison.m addpath; confbench_method_config, confbench_frozen_budget, confbench_preflight checks 7-8, confbench_manifest hash list (all re-pointed); compose_nine_mesh_comparison.m uses the OLD paths only as keys into recorded campaign manifests (unchanged)	git mv + update current references	1	1
analysis/three_method_parametric_study/study_base_config.m	current_implementation	examples/Performance/benchmark_profile/study_base_config.m	current	frozen Proposed/Yuksel benchmark profile + base-config builder + common E1/E2/E3 evaluator, read by the current runner; moved beside it byte-for-byte	performance_comparison.m addpath; confbench_method_config, confbench_frozen_budget, confbench_preflight checks 7-8, confbench_manifest hash list (all re-pointed); compose_nine_mesh_comparison.m uses the OLD paths only as keys into recorded campaign manifests (unchanged)	git mv + update current references	1	1
analysis/three_method_parametric_study/study_evaluate_design.m	current_implementation	examples/Performance/benchmark_profile/study_evaluate_design.m	current	frozen Proposed/Yuksel benchmark profile + base-config builder + common E1/E2/E3 evaluator, read by the current runner; moved beside it byte-for-byte	performance_comparison.m addpath; confbench_method_config, confbench_frozen_budget, confbench_preflight checks 7-8, confbench_manifest hash list (all re-pointed); compose_nine_mesh_comparison.m uses the OLD paths only as keys into recorded campaign manifests (unchanged)	git mv + update current references	1	1
development	migration_artifact	development	historical	archive root created by this migration	none found	keep	0	0
docs	current_documentation	docs	current	current documentation only after migration	none found	keep	0	0
docs/(Kennedy2021)TopologyOptimizationBenchmarkProblemsforAssessingthePerformanceofOptimizationAlgorithms.pdf.pdf	current_documentation	paper/references/library/(Kennedy2021)TopologyOptimizationBenchmarkProblemsforAssessingthePerformanceofOptimizationAlgorithms.pdf.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/(Labanda2014)Benchmarking_optimization_solvers for_structural_topology.pdf	current_documentation	paper/references/library/(Labanda2014)Benchmarking_optimization_solvers for_structural_topology.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/(Nocedal)_Numerical_Optimisation.pdf	current_documentation	paper/references/library/(Nocedal)_Numerical_Optimisation.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/.DS_Store	current_documentation	docs/.DS_Store	current	Finder metadata (ignored)	none found	keep	1	0
docs/ARPACK.pdf	current_documentation	paper/references/library/ARPACK.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Angelucci (2022) - Topology optimization of multi‑story buildings under fully non‑stationary stochastic seismic ground motion.pdf	current_documentation	paper/references/library/Angelucci (2022) - Topology optimization of multi‑story buildings under fully non‑stationary stochastic seismic ground motion.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Arora and Wang - 2005 - Review of formulations for structural and mechanic.pdf	current_documentation	paper/references/library/Arora and Wang - 2005 - Review of formulations for structural and mechanic.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Bau_Numerical_linear_Algebra_BOOK.pdf	current_documentation	paper/references/library/Bau_Numerical_linear_Algebra_BOOK.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Chung (2018) - Implementation of topology optimization using openMDAO.pdf	current_documentation	paper/references/library/Chung (2018) - Implementation of topology optimization using openMDAO.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Chung (2018) - Topology optimization in OpenMDAO.pdf	current_documentation	paper/references/library/Chung (2018) - Topology optimization in OpenMDAO.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/DatasetDacl10kLink copy.txt	historical_document	development/historical_documents/docs/DatasetDacl10kLink copy.txt	historical	unrelated dataset-link note (ignored)	none found	mv (no tracked files)	1	0
docs/DatasetDacl10kLink.txt	historical_document	development/historical_documents/docs/DatasetDacl10kLink.txt	historical	unrelated dataset-link note (ignored)	none found	mv (no tracked files)	1	0
docs/Gao(2020)_Level-set_topology_optimization_review.pdf	current_documentation	paper/references/library/Gao(2020)_Level-set_topology_optimization_review.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Giga-voxel_computation_morphogenesis_for_structural_design.pdf	current_documentation	paper/references/library/Giga-voxel_computation_morphogenesis_for_structural_design.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Gomez (2019) - Topology optimization framework for structures subjected to stationary stochastic dynamic loads.pdf	current_documentation	paper/references/library/Gomez (2019) - Topology optimization framework for structures subjected to stationary stochastic dynamic loads.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Gray (2019) - OpenMDAO-an open-source framework for multidisciplinary design, analysis, and optimization.pdf	current_documentation	paper/references/library/Gray (2019) - OpenMDAO-an open-source framework for multidisciplinary design, analysis, and optimization.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Holmberg(2013)-Stress constrained topology optimization.pdf	current_documentation	paper/references/library/Holmberg(2013)-Stress constrained topology optimization.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Huang(2009)_Evolutionary_topological_optimisation_of_vibrationg_continuum_structures_for_natural_frequencies.pdf	current_documentation	paper/references/library/Huang(2009)_Evolutionary_topological_optimisation_of_vibrationg_continuum_structures_for_natural_frequencies.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Klarbring(2009) - An Introduction to Structural Optimisation.pdf	current_documentation	paper/references/library/Klarbring(2009) - An Introduction to Structural Optimisation.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Li(2021)-Topology optimization of vibrating structures with frequency band constraints.pdf	current_documentation	paper/references/library/Li(2021)-Topology optimization of vibrating structures with frequency band constraints.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Lin(2022)_A multi-step relay implementation of the successive iteration of analysis and design method for large-scale natural frequency-related topology optimization - s00466-023-02372-1.pdf	current_documentation	paper/references/library/Lin(2022)_A multi-step relay implementation of the successive iteration of analysis and design method for large-scale natural frequency-related topology optimization - s00466-023-02372-1.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Nguyen (2015) - Isogeometric analysis; An overview and computer implementation aspects.pdf	current_documentation	paper/references/library/Nguyen (2015) - Isogeometric analysis; An overview and computer implementation aspects.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Nlpql.f	historical_document	development/historical_documents/docs/Nlpql.f	historical	NLPQL Fortran reference source added with the SQP/LabandaApproach experiment (c4f893a, 2026-05-12)	none found	git mv	1	1
docs/Pozo (2023) - TopSTO; a 115-line code for topology optimization of structures under stationary stochastic dynamic loading.pdf	current_documentation	paper/references/library/Pozo (2023) - TopSTO; a 115-line code for topology optimization of structures under stationary stochastic dynamic loading.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/Rojas(2015)_DTU_Mathematical_programming_methods.pdf	current_documentation	paper/references/library/Rojas(2015)_DTU_Mathematical_programming_methods.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
docs/SQP_(Labanda2016)An_efficient_second-order_SQP_method.pdf	current_documentation	paper/references/library/SQP_(Labanda2016)An_efficient_second-order_SQP_method.pdf	current	literature PDF (ignored); moved out of docs/ into the paper reference library	none found	mv (no tracked files) + update current references	1	0
